"","date","country","iso_code","median","lower_95_CrI","upper_95_CrI"
"10754",2020-06-04,"Panama","PAN",0.630142430815179,0.545098499822088,0.723920585439509
"10755",2020-06-05,"Panama","PAN",0.628464170426141,0.544172914189079,0.721250440952337
"10756",2020-06-06,"Panama","PAN",0.626547643537307,0.54306645200381,0.718158057384041
"10757",2020-06-07,"Panama","PAN",0.624398328506692,0.541464129247435,0.714717691300447
"10758",2020-06-08,"Panama","PAN",0.622022372912275,0.53989563493937,0.710797746505879
"10759",2020-06-09,"Panama","PAN",0.619426602926297,0.537895830630375,0.707485722490237
"10760",2020-06-10,"Panama","PAN",0.616618525922156,0.535919798517065,0.703507873430659
"10761",2020-06-11,"Panama","PAN",0.61360632468544,0.534490716103156,0.699794100540476
"10762",2020-06-12,"Panama","PAN",0.610398841852251,0.532109480581927,0.695377953035438
"10763",2020-06-13,"Panama","PAN",0.607005553548672,0.529523199790776,0.690983110776825
"10764",2020-06-14,"Panama","PAN",0.603436531641914,0.526697846666437,0.686234095044314
"10765",2020-06-15,"Panama","PAN",0.59970239451685,0.523548553524265,0.681560865290894
"10766",2020-06-16,"Panama","PAN",0.595814246836094,0.520200501381075,0.676781874732147
"10767",2020-06-17,"Panama","PAN",0.591783609295587,0.516518221885892,0.671875388010073
"10768",2020-06-18,"Panama","PAN",0.587622339913481,0.512742122120435,0.667032866845475
"10769",2020-06-19,"Panama","PAN",0.583342548847192,0.508915788984109,0.661765243858429
"10770",2020-06-20,"Panama","PAN",0.578956509080719,0.504830360855573,0.656642440413923
"10771",2020-06-21,"Panama","PAN",0.574476565526148,0.50079839462402,0.651385880958705
"10772",2020-06-22,"Panama","PAN",0.569915045114329,0.49658683613797,0.646133151523202
"10773",2020-06-23,"Panama","PAN",0.565284170301688,0.492413093783011,0.640603783975098
"10774",2020-06-24,"Panama","PAN",0.560595978104473,0.488069161198199,0.635305749430016
"10775",2020-06-25,"Panama","PAN",0.555862246320754,0.483865100006155,0.63003971953514
"10776",2020-06-26,"Panama","PAN",0.551094428063766,0.479338022501334,0.624859960356376
"10777",2020-06-27,"Panama","PAN",0.546303595167379,0.474924094571866,0.62012704309635
"10778",2020-06-28,"Panama","PAN",0.541500390496288,0.470480013425727,0.615146067810129
"10779",2020-06-29,"Panama","PAN",0.53669498875222,0.466156534498496,0.610178529256187
"10780",2020-06-30,"Panama","PAN",0.531897065050198,0.461866350291892,0.605012634775147
"10781",2020-07-01,"Panama","PAN",0.527115770363318,0.457516293276223,0.600246497016952
"10782",2020-07-02,"Panama","PAN",0.522359712899156,0.452879912577405,0.595613478973989
"10783",2020-07-03,"Panama","PAN",0.517636944557482,0.448699000310204,0.591073003318096
"10784",2020-07-04,"Panama","PAN",0.512954951796619,0.444134646326551,0.586892454701268
"10785",2020-07-05,"Panama","PAN",0.508320650466052,0.439167045366118,0.583058724852012
"10786",2020-07-06,"Panama","PAN",0.503740384404451,0.434031186250357,0.579255476841243
"10787",2020-07-07,"Panama","PAN",0.499219927814986,0.428235841195485,0.57643684002042
"10788",2020-07-08,"Panama","PAN",0.494764491579623,0.422662849748662,0.57356124114208
"10789",2020-07-09,"Panama","PAN",0.490378733736372,0.416591136344906,0.571779697546696
"10790",2020-07-10,"Panama","PAN",0.486066774307347,0.410578659788795,0.571073666782637
"10791",2020-07-11,"Panama","PAN",0.481832214535681,0.404140803210406,0.570192659865865
"10792",2020-03-15,"Peru","PER",0.51150457974478,0.0972533258214079,1
"10793",2020-03-16,"Peru","PER",0.594331287607997,0.13259355201401,1
"10794",2020-03-17,"Peru","PER",0.641497297097803,0.161631823363305,1
"10795",2020-03-18,"Peru","PER",0.664124468978999,0.172185633864146,1
"10796",2020-03-19,"Peru","PER",0.677885163486002,0.175124765950804,1
"10797",2020-03-20,"Peru","PER",0.688806374508948,0.179619042995541,1
"10798",2020-03-21,"Peru","PER",0.698761607480832,0.186003664157914,1
"10799",2020-03-22,"Peru","PER",0.708503949578323,0.203094600719657,1
"10800",2020-03-23,"Peru","PER",0.718534499685693,0.221769527035046,1
"10801",2020-03-24,"Peru","PER",0.729286519991932,0.235258648743665,1
"10802",2020-03-25,"Peru","PER",0.74115190466164,0.245833602803282,1
"10803",2020-03-26,"Peru","PER",0.754476043983758,0.247792101943499,1
"10804",2020-03-27,"Peru","PER",0.769514310268622,0.25716556247424,1
"10805",2020-03-28,"Peru","PER",0.786337878971207,0.266105146819362,1
"10806",2020-03-29,"Peru","PER",0.804703884366638,0.275709390060539,1
"10807",2020-03-30,"Peru","PER",0.823943175692997,0.278980865223618,1
"10808",2020-03-31,"Peru","PER",0.84295517473433,0.280224032420805,1
"10809",2020-04-01,"Peru","PER",0.860395598560683,0.282109479935107,1
"10810",2020-04-02,"Peru","PER",0.875050597498614,0.29236588075482,1
"10811",2020-04-03,"Peru","PER",0.886234776009252,0.304804586548909,1
"10812",2020-04-04,"Peru","PER",0.893975934401615,0.320900562879624,1
"10813",2020-04-05,"Peru","PER",0.89887822026552,0.337454851161164,1
"10814",2020-04-06,"Peru","PER",0.901786631715851,0.350083835873402,1
"10815",2020-04-07,"Peru","PER",0.903479122072274,0.363091634511296,1
"10816",2020-04-08,"Peru","PER",0.904521454871718,0.377558239607922,1
"10817",2020-04-09,"Peru","PER",0.905271439724417,0.384008298038023,1
"10818",2020-04-10,"Peru","PER",0.905947036365623,0.383989307412036,1
"10819",2020-04-11,"Peru","PER",0.906690396897197,0.386277986830903,1
"10820",2020-04-12,"Peru","PER",0.907606292603563,0.387383335622701,1
"10821",2020-04-13,"Peru","PER",0.908780435570572,0.391597246703817,1
"10822",2020-04-14,"Peru","PER",0.910287115712868,0.399241217468818,1
"10823",2020-04-15,"Peru","PER",0.91219143825594,0.410305521889433,1
"10824",2020-04-16,"Peru","PER",0.914548217831963,0.424785471853049,1
"10825",2020-04-17,"Peru","PER",0.917398293429031,0.442668342218708,1
"10826",2020-04-18,"Peru","PER",0.92076267542241,0.463917213490569,1
"10827",2020-04-19,"Peru","PER",0.924635009488022,0.487378347514801,1
"10828",2020-04-20,"Peru","PER",0.928973273258476,0.510144502846433,1
"10829",2020-04-21,"Peru","PER",0.933692416723565,0.534935575771277,1
"10830",2020-04-22,"Peru","PER",0.93866070039965,0.535453142962511,1
